fips15,census_tract,census_block,ward_2010,anc_2010
110010027023006,0027,3006,3,3C
110010098011008,0098,1008,8,8E
110010062021166,0062,1166,2,2A
110010016004031,0016,4031,3,3G
110010095031000,0095,1000,5,5A
110010003003006,0003,3006,2,2E
110010078082013,0078,2013,7,7C
110010026001019,0026,1019,4,4A
110010109002038,0109,2038,8,8D
110010001004034,0001,4034,2,2E
110010062021227,0062,1227,2,2A
110010026002013,0026,2013,4,4A
110010002024010,0002,4010,3,3D
110010015003009,0015,3009,3,3G
110010001004049,0001,4049,2,2A
110010001004046,0001,4046,2,2E
110010078083005,0078,3005,7,7C
110010023021011,0023,1011,5,5A
110010096041007,0096,1007,7,7D
110010102002032,0102,2032,6,6D
110010109002007,0109,2007,8,8D
110010062021093,0062,1093,2,2A
110010015001019,0015,1019,3,3G
110010109002031,0109,2031,8,8D
110010111003043,0111,3043,5,5C
110010111003033,0111,3033,5,5C
110010018031012,0018,1012,4,4A
110010039002008,0039,2008,3,3C
110010002024019,0002,4019,2,2E
110010078041012,0078,1012,7,7C
110010077091009,0077,1009,7,7B
110010096011004,0096,1004,7,7D
110010111003024,0111,3024,5,5C
110010001004020,0001,4020,2,2E
110010026001015,0026,1015,3,3F
110010062021225,0062,1225,2,2A
110010009022011,0009,2011,3,3D
110010111003055,0111,3055,5,5C
110010109002042,0109,2042,8,8D
110010077082020,0077,2020,7,7B
110010072002065,0072,2065,6,6D
110010062021191,0062,1191,6,6D
110010109002005,0109,2005,8,8D
110010098011011,0098,1011,8,8C
110010062021044,0062,1044,2,2A
110010007022000,0007,2000,3,3B
110010078031001,0078,1001,7,7D
110010008014013,0008,4013,3,3D
110010074011000,0074,1000,8,8A
110010071001020,0071,1020,6,6B
110010039002005,0039,2005,1,1C
110010073011008,0073,1008,8,8C
110010009022013,0009,2013,3,3D
110010097001011,0097,1011,8,8E
110010008021000,0008,1000,3,3D
110010077032007,0077,2007,7,7F
110010056001010,0056,1010,2,2A
110010073041010,0073,1010,8,8E
110010056002010,0056,2010,2,2A
110010018031013,0018,1013,4,4A
110010110002001,0110,2001,6,6D
110010008014008,0008,4008,3,3D
110010111003025,0111,3025,5,5C
110010111003034,0111,3034,5,5C
110010008021015,0008,1015,3,3D
110010008014010,0008,4010,3,3D
110010009022012,0009,2012,3,3D
110010073011009,0073,1009,8,8C
110010072002060,0072,2060,6,6D
110010002024020,0002,4020,2,2E
110010073011033,0073,1033,8,8D
110010073011010,0073,1010,8,8D
110010098011000,0098,1000,8,8C
110010098101003,0098,1003,8,8D
110010062021226,0062,1226,2,2A
110010096022005,0096,2005,7,7D
110010009022008,0009,2008,3,3D
110010076015000,0076,5000,8,8A
110010062021095,0062,1095,2,2A
110010096011001,0096,1001,7,7D
110010109002041,0109,2041,8,8D
110010062021081,0062,1081,2,2A
110010111003050,0111,3050,5,5C
110010062021217,0062,1217,2,2A
110010064002019,0064,2019,6,6D
110010072002064,0072,2064,6,6D
110010074011001,0074,1001,8,8A
110010076015004,0076,5004,8,8A
110010008014009,0008,4009,3,3D
110010073041000,0073,1000,8,8E
110010056001011,0056,1011,2,2E
