X,Y,OBJECTID,BBL_LICENSE_FACT_ID,LICENSESTATUS,LICENSECATEGORY,CUST_NUM,TRADE_NAME,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_ISSUE_DATE,AGENT_PHONE,LASTMODIFIEDDATE,CITY,STATE,SITEADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
-77.080700256278874,38.946585641873675,18145077,313582,ACTIVE,Charitable Solicitation,400214000099,YUMA STUDY CENTER INC,2014-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,2014-01-02T00:00:00.000Z,2023866905,2017-06-20T15:10:12.000Z,WASHINGTON,DC,4101 YUMA STREET NW,38.9465778483,-77.0806979448,393004.52,142078.93,20016,264421,106993,106993,3,3E,3E03,SECOND,202,11,NONE,NONE,NONE,NONE
-77.098453473929979,38.948639980001154,18144606,313735,ACTIVE,Charitable Solicitation,400214000368,,2014-07-01T00:00:00.000Z,2018-06-30T00:00:00.000Z,2014-08-06T00:00:00.000Z,2023681083,2017-06-20T15:10:13.000Z,WASHINGTON,DC,4940 BUTTERWORTH PLACE NW,38.94863252,-77.0984511572,391465.79,142308.49,20016,269305,111851,111851,3,3E,3E02,SECOND,202,11,NONE,NONE,NONE,NONE
-77.027725931854548,38.9606764434455,18141854,312155,ACTIVE,Gasoline Dealer,69004465,LP MAPP DOWNSTREAM MARKETING LLC,2009-06-01T00:00:00.000Z,2011-05-31T00:00:00.000Z,2014-09-19T00:00:00.000Z,2028554455,2017-06-20T15:10:12.000Z,WASHINGTON,DC,5831 GEORGIA AVENUE NW,38.9606689783,-77.0277236361,397597.19,143640.41,20011,285276,124095,124095,4,4B,4B05,FOURTH,403,18,NONE,NONE,NONE,NONE
-77.040626831778269,38.905454639305702,18152703,324033,ACTIVE,General Business Licenses,69011131,BURBERRY LIMITED ,2011-12-01T00:00:00.000Z,2013-11-30T00:00:00.000Z,2014-02-03T00:00:00.000Z,2029999999,2017-06-20T15:10:18.000Z,WASHINGTON,DC,1155 CONNECTICUT AVENUE NW,38.9054471858,-77.0406245354,396476.34,137510.73,20036,243304,86234,86234,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-76.971873602506605,38.874560127403896,18159747,325260,ACTIVE,Cigarette Retail,53000500,GOOD HOPE INTERNATIONAL INC,2016-03-01T00:00:00.000Z,2018-02-28T00:00:00.000Z,2014-02-27T00:00:00.000Z,9999999999,2017-06-20T15:10:18.000Z,WASHINGTON,DC,2300 PENNSYLVANIA AVENUE SE,38.8745526776,-76.9718713291,402440.86,134080.79,20020,48967,20496,20496,7,7A,7A07,SIXTH,607,34,NONE,NONE,NONE,NONE
-77.020780179618413,38.94648012992446,18161228,331640,ACTIVE,Home Improvement Salesman,68002008,GEORGE U STRONG ,2016-04-01T00:00:00.000Z,2018-03-31T00:00:00.000Z,2014-03-21T00:00:00.000Z,,2017-06-20T15:10:22.000Z,WASHINGTON,DC,537 BUCHANAN STREET NW,38.9464726674,-77.0207778869,398198.82,142064.33,20011,247355,90231,90231,4,4C,4C09,FOURTH,407,18,NONE,NONE,NONE,NONE
-76.9659239866414,38.851308534822579,18163985,332491,ACTIVE,Apartment,39807387,RICHARD B SHINE JR,2003-11-01T00:00:00.000Z,2004-10-31T00:00:00.000Z,2014-09-25T00:00:00.000Z,,2017-06-20T15:10:22.000Z,WASHINGTON,DC,3125 BUENA VISTA TERRACE SE,38.8513010895,-76.9659217165,402958.1,131499.87,20020,39877,27124,27124,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,NONE
-77.009787036263134,38.956880718035499,18163190,328795,ACTIVE,Home Improvement Contractor,39104184,J & L ORNAMENTAL IRON WRKS INC,2016-01-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,2014-01-06T00:00:00.000Z,2028293050,2017-06-20T15:10:20.000Z,WASHINGTON,DC,1 KENNEDY STREET NW,38.956873253,-77.0097847462,399151.91,143218.73,20011,245832,88707,88707,4,4B,4B08,FOURTH,406,17,NONE,NONE,NONE,NONE
-77.016950156683933,38.953541164801727,18163357,331468,ACTIVE,Home Improvement Salesman,70105659,W. GILL CONSTRUCTION COMPANY,2012-07-01T00:00:00.000Z,2014-06-30T00:00:00.000Z,2014-06-20T00:00:00.000Z,2027234251,2017-06-20T15:10:22.000Z,WASHINGTON,DC,5207 KANSAS AVENUE NW,38.9535337007,-77.0169478647,398530.98,142848.1,20011,243679,86562,86562,4,4D,4D02,FOURTH,403,18,NONE,NONE,NONE,NONE
-76.979856183906108,38.903273369871016,18167118,334225,ACTIVE,Apartment,500114000467,,2012-12-01T00:00:00.000Z,2014-11-30T00:00:00.000Z,2014-05-23T00:00:00.000Z,2022764183,2017-06-20T15:10:23.000Z,WASHINGTON,DC,1019 17TH PLACE NE,38.9032659146,-76.9798539063,401747.47,137268,20002,75491,48983,48983,5,5B,5B10,FIFTH,507,23,NONE,NONE,NONE,NONE
