census_block_2010,feature_id,feature_type,value,week,year
-30004.0,business_licenses_in_effect,General Business Licenses,1,2,2015
-29979.0,business_licenses_in_effect,General Business Licenses,1,2,2015
-29974.0,business_licenses_in_effect,General Business Licenses,1,2,2015
-29971.0,business_licenses_in_effect,General Business Licenses,1,2,2015
-29960.0,business_licenses_in_effect,General Business Licenses,1,2,2015
-29959.0,business_licenses_in_effect,General Business Licenses,1,2,2015
-30029.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29986.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29985.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29975.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29970.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29962.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29958.0,business_licenses_in_effect,One Family Rental,1,2,2015
-29966.0,business_licenses_in_effect,Security Agency (Firm),1,2,2015
-29964.0,business_licenses_in_effect,Charitable Exempt,1,3,2015
-30004.0,business_licenses_in_effect,General Business Licenses,1,3,2015
-29979.0,business_licenses_in_effect,General Business Licenses,1,3,2015
-29974.0,business_licenses_in_effect,General Business Licenses,1,3,2015
-29971.0,business_licenses_in_effect,General Business Licenses,1,3,2015
-29960.0,business_licenses_in_effect,General Business Licenses,1,3,2015
-29959.0,business_licenses_in_effect,General Business Licenses,1,3,2015
-30029.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29987.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29986.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29985.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29978.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29975.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29970.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29962.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29958.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29906.0,business_licenses_in_effect,One Family Rental,1,3,2015
-29966.0,business_licenses_in_effect,Security Agency (Firm),1,3,2015
-29964.0,business_licenses_in_effect,Charitable Exempt,1,4,2015
-30018.0,business_licenses_in_effect,Cigarette Retail,1,4,2015
-30018.0,business_licenses_in_effect,Consumer Goods (Auto Repair),1,4,2015
-30027.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-30004.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-29979.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-29974.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-29972.0,business_licenses_in_effect,General Business Licenses,2,4,2015
-29971.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-29960.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-29959.0,business_licenses_in_effect,General Business Licenses,1,4,2015
-30029.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29987.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29986.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29985.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29978.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29977.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29975.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29970.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29962.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29958.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29933.0,business_licenses_in_effect,One Family Rental,132,4,2015
-29906.0,business_licenses_in_effect,One Family Rental,1,4,2015
-29988.0,business_licenses_in_effect,Power Laundry,1,4,2015
-29966.0,business_licenses_in_effect,Security Agency (Firm),1,4,2015
-29965.0,business_licenses_in_effect,Solid Waste Vehicle,1,4,2015
-29903.0,business_licenses_in_effect,Apartment,1,5,2015
-29986.0,business_licenses_in_effect,Beauty Shop,1,5,2015
-29964.0,business_licenses_in_effect,Charitable Exempt,1,5,2015
-30018.0,business_licenses_in_effect,Cigarette Retail,1,5,2015
-30018.0,business_licenses_in_effect,Consumer Goods (Auto Repair),1,5,2015
-30003.0,business_licenses_in_effect,Gen Contr-Construction Mngr,1,5,2015
-30033.0,business_licenses_in_effect,General Business Licenses,1,5,2015
