establishment_type,risk_category,year,week,census_block,value,restaurant_inspection_complaints
Bakery,1,2011,10,3011,1,restaurant_inspection_complaints
Bakery,1,2013,34,1000,1,restaurant_inspection_complaints
Bakery,2,2014,3,1001,1,restaurant_inspection_complaints
Bakery,2,2014,28,1001,1,restaurant_inspection_complaints
Bakery,2,2014,30,1001,1,restaurant_inspection_complaints
Bakery,2,2014,34,1001,4,restaurant_inspection_complaints
Bakery,2,2015,8,2001,1,restaurant_inspection_complaints
Bakery,2,2015,28,1001,1,restaurant_inspection_complaints
Bakery,2,2016,23,2005,1,restaurant_inspection_complaints
Bakery,3,2009,32,1001,1,restaurant_inspection_complaints
Bakery,3,2011,19,3004,1,restaurant_inspection_complaints
Bakery,3,2012,4,1000,1,restaurant_inspection_complaints
Bakery,3,2012,18,1000,1,restaurant_inspection_complaints
Bakery,3,2012,36,1040,1,restaurant_inspection_complaints
Bakery,3,2012,37,1000,1,restaurant_inspection_complaints
Bakery,3,2013,23,1000,1,restaurant_inspection_complaints
Bakery,3,2013,38,1000,1,restaurant_inspection_complaints
Barber Shop,1,2008,34,2001,1,restaurant_inspection_complaints
Barber Shop,1,2008,42,1007,1,restaurant_inspection_complaints
Barber Shop,1,2011,28,1014,1,restaurant_inspection_complaints
Barber Shop,1,2012,6,2007,1,restaurant_inspection_complaints
Barber Shop,1,2012,18,2002,1,restaurant_inspection_complaints
Barber Shop,1,2012,32,1010,1,restaurant_inspection_complaints
Barber Shop,1,2012,41,2007,1,restaurant_inspection_complaints
Barber Shop,1,2013,5,3003,1,restaurant_inspection_complaints
Barber Shop,1,2015,13,3026,1,restaurant_inspection_complaints
Barber Shop,1,2015,15,2001,1,restaurant_inspection_complaints
Barber Shop,1,2015,17,1013,1,restaurant_inspection_complaints
Barber Shop,1,2016,42,3002,1,restaurant_inspection_complaints
Barber Shop,1,2017,27,2007,1,restaurant_inspection_complaints
Barber Shop,2,2015,19,3007,1,restaurant_inspection_complaints
Beauty Shop,1,2011,9,1012,1,restaurant_inspection_complaints
Beauty Shop,1,2011,14,1002,2,restaurant_inspection_complaints
Beauty Shop,1,2011,35,2009,1,restaurant_inspection_complaints
Beauty Shop,1,2012,1,1014,1,restaurant_inspection_complaints
Beauty Shop,1,2013,51,1003,1,restaurant_inspection_complaints
Beauty Shop,1,2014,42,2000,1,restaurant_inspection_complaints
Beauty Shop,1,2016,1,1001,1,restaurant_inspection_complaints
Beauty Shop,1,2016,12,5002,1,restaurant_inspection_complaints
Beauty Shop,1,2016,16,2005,1,restaurant_inspection_complaints
Beauty Shop,1,2016,31,1004,1,restaurant_inspection_complaints
Beauty Shop,1,2017,7,1003,1,restaurant_inspection_complaints
Beauty Shop,2,2015,42,3004,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2010,42,3004,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2011,3,4004,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2011,8,2007,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2011,14,1001,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2011,14,1003,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2011,24,1013,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2012,2,1013,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2012,30,1004,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2012,30,3001,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2012,43,2007,1,restaurant_inspection_complaints
Beauty Shop-Nails,1,2012,43,3000,1,restaurant_inspection_complaints
