census_block_2010,feature_type,feature_subtype,year,week,value,feature_id
1000,Bakery,1,16,2015,0,restaurant_violations_rodent_or_trash
1000,Bakery,1,18,2015,0,restaurant_violations_rodent_or_trash
1000,Bakery,1,19,2015,0,restaurant_violations_rodent_or_trash
1000,Bakery,1,25,2011,0,restaurant_violations_rodent_or_trash
1000,Bakery,1,34,2013,0,restaurant_violations_rodent_or_trash
1000,Bakery,1,36,2013,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,1,2013,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,2,2013,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,4,2012,1,restaurant_violations_rodent_or_trash
1000,Bakery,3,11,2011,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,12,2014,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,13,2011,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,18,2012,1,restaurant_violations_rodent_or_trash
1000,Bakery,3,23,2013,1,restaurant_violations_rodent_or_trash
1000,Bakery,3,29,2013,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,33,2011,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,36,2008,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,37,2012,1,restaurant_violations_rodent_or_trash
1000,Bakery,3,38,2013,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,39,2014,0,restaurant_violations_rodent_or_trash
1000,Bakery,3,40,2010,1,restaurant_violations_rodent_or_trash
1000,Bakery,3,42,2014,1,restaurant_violations_rodent_or_trash
1000,Bakery,3,43,2010,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,1,10,2017,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,1,11,2013,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,1,14,2013,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,1,30,2012,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,1,35,2017,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,NA,9,2010,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,NA,19,2009,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,NA,24,2008,0,restaurant_violations_rodent_or_trash
1000,Barber Shop,NA,43,2008,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,4,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,9,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,11,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,12,2011,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,13,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,13,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,14,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,14,2016,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,15,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,16,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,17,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,19,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,22,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,22,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,23,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,24,2014,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,24,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,25,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,29,2016,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,30,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,34,2012,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,34,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,37,2012,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,37,2016,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,43,2016,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,44,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,1,47,2014,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,2,2,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,2,9,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop,2,48,2016,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,11,2011,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,15,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,16,2011,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,16,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,18,2013,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,20,2012,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,21,2012,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,24,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,27,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,32,2012,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,38,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,39,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,40,2015,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,1,44,2014,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,2,10,2017,0,restaurant_violations_rodent_or_trash
1000,Beauty Shop-Nails,2,15,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,5,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,12,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,16,2017,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,17,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,19,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,23,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,29,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,41,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,44,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,1,47,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,14,2014,1,restaurant_violations_rodent_or_trash
1000,Caterer,2,15,2015,1,restaurant_violations_rodent_or_trash
1000,Caterer,2,16,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,19,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,23,2015,1,restaurant_violations_rodent_or_trash
1000,Caterer,2,25,2012,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,28,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,29,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,30,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,33,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,38,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,41,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,47,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,2,51,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,1,2012,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,3,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,11,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,16,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,19,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,23,2011,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,23,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,24,2011,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,24,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,25,2012,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,26,2016,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,28,2013,1,restaurant_violations_rodent_or_trash
1000,Caterer,3,29,2013,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,30,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,33,2013,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,37,2014,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,38,2012,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,40,2014,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,41,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,44,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,47,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,48,2013,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,51,2015,0,restaurant_violations_rodent_or_trash
1000,Caterer,3,52,2013,1,restaurant_violations_rodent_or_trash
1000,Caterer,3,52,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,1,2012,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,1,2017,1,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,2,2009,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,3,2012,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,4,2017,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,5,2009,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,5,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,6,2013,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,9,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,12,2013,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,12,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,12,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,13,2013,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,13,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,14,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,15,2016,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,16,2016,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,19,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,19,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,20,2010,1,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,21,2010,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,26,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,27,2014,1,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,28,2008,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,30,2016,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,31,2012,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,37,2008,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,41,2016,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,43,2008,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,44,2008,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,44,2012,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,49,2011,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,49,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,50,2011,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,1,52,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,1,2011,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,1,2012,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,2,2013,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,2,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,2,2016,1,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,2,2017,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,3,2011,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,3,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,3,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,3,2016,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,4,2012,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,4,2013,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,4,2014,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,4,2015,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,4,2016,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,4,2017,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,5,2009,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,5,2013,0,restaurant_violations_rodent_or_trash
1000,Delicatessen,2,5,2016,2,restaurant_violations_rodent_or_trash
