feature_type,feature_subtype,week,year,census_block_2010,feature_id,value
Bakery,1,11.0,2017.0,2002,food_service_establishments,1
Bakery,1,13.0,2017.0,2002,food_service_establishments,1
Bakery,1,24.0,2015.0,3011,food_service_establishments,1
Bakery,1,24.0,2017.0,3011,food_service_establishments,1
Bakery,1,25.0,2015.0,2002,food_service_establishments,1
Bakery,1,29.0,2014.0,3011,food_service_establishments,1
Bakery,1,29.0,2015.0,3011,food_service_establishments,1
Bakery,1,30.0,2015.0,2002,food_service_establishments,1
Bakery,2,1.0,2015.0,4005,food_service_establishments,1
Bakery,2,2.0,2015.0,1006,food_service_establishments,1
Bakery,2,2.0,2015.0,2011,food_service_establishments,1
Bakery,2,2.0,2016.0,2006,food_service_establishments,1
Bakery,2,2.0,2016.0,2011,food_service_establishments,1
Bakery,2,2.0,2017.0,1006,food_service_establishments,1
Bakery,2,2.0,2017.0,2006,food_service_establishments,1
Bakery,2,5.0,2016.0,2005,food_service_establishments,1
Bakery,2,5.0,2016.0,2008,food_service_establishments,1
Bakery,2,5.0,2017.0,1032,food_service_establishments,1
Bakery,2,5.0,2017.0,2006,food_service_establishments,1
Bakery,2,7.0,2015.0,2005,food_service_establishments,1
Bakery,2,7.0,2016.0,1007,food_service_establishments,2
Bakery,2,7.0,2016.0,2005,food_service_establishments,1
Bakery,2,7.0,2017.0,2017,food_service_establishments,1
Bakery,2,7.0,2017.0,3013,food_service_establishments,2
Bakery,2,8.0,2015.0,2001,food_service_establishments,1
Bakery,2,8.0,2017.0,2008,food_service_establishments,1
Bakery,2,9.0,2017.0,1040,food_service_establishments,2
Bakery,2,9.0,2017.0,2017,food_service_establishments,1
Bakery,2,10.0,2017.0,1040,food_service_establishments,1
Bakery,2,12.0,2015.0,2008,food_service_establishments,1
Bakery,2,12.0,2017.0,2005,food_service_establishments,1
Bakery,2,13.0,2015.0,2008,food_service_establishments,1
Bakery,2,14.0,2017.0,2005,food_service_establishments,1
Bakery,2,15.0,2015.0,2006,food_service_establishments,1
Bakery,2,16.0,2016.0,1040,food_service_establishments,1
Bakery,2,19.0,2016.0,2017,food_service_establishments,1
Bakery,2,21.0,2015.0,1001,food_service_establishments,1
Bakery,2,21.0,2015.0,1003,food_service_establishments,1
Bakery,2,22.0,2016.0,2012,food_service_establishments,1
Bakery,2,22.0,2017.0,2011,food_service_establishments,1
Bakery,2,23.0,2015.0,2012,food_service_establishments,1
Bakery,2,23.0,2016.0,2005,food_service_establishments,1
Bakery,2,23.0,2016.0,2006,food_service_establishments,1
Bakery,2,23.0,2016.0,2012,food_service_establishments,1
Bakery,2,24.0,2015.0,1001,food_service_establishments,1
Bakery,2,24.0,2016.0,2005,food_service_establishments,1
Bakery,2,24.0,2017.0,1001,food_service_establishments,1
Bakery,2,24.0,2017.0,1032,food_service_establishments,1
Bakery,2,25.0,2015.0,3013,food_service_establishments,1
Bakery,2,25.0,2017.0,4005,food_service_establishments,1
Bakery,2,26.0,2015.0,1003,food_service_establishments,1
Bakery,2,26.0,2017.0,1001,food_service_establishments,1
Bakery,2,27.0,2015.0,3013,food_service_establishments,1
Bakery,2,27.0,2017.0,3013,food_service_establishments,1
Bakery,2,28.0,2014.0,1001,food_service_establishments,1
Bakery,2,28.0,2014.0,2011,food_service_establishments,1
Bakery,2,28.0,2014.0,2014,food_service_establishments,1
Bakery,2,28.0,2015.0,1001,food_service_establishments,1
Bakery,2,28.0,2015.0,2011,food_service_establishments,1
Bakery,2,29.0,2015.0,1001,food_service_establishments,1
Bakery,2,30.0,2014.0,1001,food_service_establishments,1
Bakery,2,30.0,2015.0,1001,food_service_establishments,1
Bakery,2,31.0,2016.0,1003,food_service_establishments,1
Bakery,2,32.0,2013.0,1001,food_service_establishments,1
Bakery,2,32.0,2014.0,1001,food_service_establishments,1
Bakery,2,32.0,2017.0,3013,food_service_establishments,1
Bakery,2,33.0,2014.0,1001,food_service_establishments,1
Bakery,2,33.0,2014.0,1032,food_service_establishments,1
Bakery,2,33.0,2015.0,2005,food_service_establishments,1
Bakery,2,34.0,2014.0,1001,food_service_establishments,1
Bakery,2,34.0,2015.0,5003,food_service_establishments,1
Bakery,2,35.0,2014.0,1032,food_service_establishments,1
Bakery,2,35.0,2015.0,1006,food_service_establishments,1
Bakery,2,35.0,2016.0,4005,food_service_establishments,1
Bakery,2,36.0,2016.0,4005,food_service_establishments,1
Bakery,2,37.0,2016.0,1001,food_service_establishments,1
Bakery,2,38.0,2016.0,2011,food_service_establishments,1
Bakery,2,39.0,2016.0,1006,food_service_establishments,1
Bakery,2,40.0,2014.0,2006,food_service_establishments,1
Bakery,2,40.0,2014.0,2007,food_service_establishments,1
Bakery,2,40.0,2015.0,2008,food_service_establishments,2
Bakery,2,40.0,2015.0,5003,food_service_establishments,1
Bakery,2,40.0,2016.0,1001,food_service_establishments,1
Bakery,2,40.0,2016.0,2011,food_service_establishments,1
Bakery,2,41.0,2016.0,2017,food_service_establishments,1
Bakery,2,42.0,2014.0,2001,food_service_establishments,1
Bakery,2,42.0,2015.0,1006,food_service_establishments,1
Bakery,2,43.0,2016.0,1006,food_service_establishments,1
Bakery,2,44.0,2015.0,2012,food_service_establishments,1
Bakery,2,46.0,2011.0,1001,food_service_establishments,1
Bakery,2,46.0,2014.0,1001,food_service_establishments,1
Bakery,2,46.0,2014.0,1003,food_service_establishments,1
Bakery,2,46.0,2016.0,1001,food_service_establishments,1
Bakery,2,47.0,2011.0,2011,food_service_establishments,1
Bakery,2,47.0,2015.0,1006,food_service_establishments,1
Bakery,2,47.0,2015.0,2017,food_service_establishments,1
Bakery,2,47.0,2015.0,5003,food_service_establishments,1
Bakery,2,49.0,2014.0,2017,food_service_establishments,1
Bakery,2,49.0,2015.0,5000,food_service_establishments,1
Bakery,2,50.0,2014.0,1001,food_service_establishments,1
Bakery,2,50.0,2014.0,1006,food_service_establishments,1
Bakery,2,51.0,2014.0,5000,food_service_establishments,1
Bakery,2,53.0,2014.0,1006,food_service_establishments,1
Bakery,3,6.0,2015.0,4009,food_service_establishments,1
Bakery,3,7.0,2016.0,1040,food_service_establishments,1
Bakery,3,9.0,2015.0,4009,food_service_establishments,1
Bakery,3,11.0,2016.0,2006,food_service_establishments,1
Bakery,3,18.0,2015.0,2006,food_service_establishments,1
Bakery,3,22.0,2015.0,2006,food_service_establishments,1
Bakery,3,22.0,2016.0,2006,food_service_establishments,1
Bakery,3,24.0,2015.0,3004,food_service_establishments,1
Bakery,3,25.0,2015.0,3004,food_service_establishments,1
Bakery,3,32.0,2017.0,4009,food_service_establishments,1
Bakery,3,34.0,2015.0,1003,food_service_establishments,1
Bakery,3,34.0,2016.0,4009,food_service_establishments,1
Bakery,3,40.0,2015.0,2006,food_service_establishments,2
Bakery,3,40.0,2016.0,4009,food_service_establishments,1
Bakery,3,42.0,2016.0,3004,food_service_establishments,1
Bakery,3,50.0,2015.0,4009,food_service_establishments,1
Bakery,3,52.0,2015.0,4009,food_service_establishments,1
Caterer,1,2.0,2016.0,2011,food_service_establishments,1
Caterer,1,2.0,2016.0,2014,food_service_establishments,1
Caterer,1,4.0,2017.0,1012,food_service_establishments,3
Caterer,1,5.0,2016.0,1000,food_service_establishments,1
Caterer,1,5.0,2016.0,2011,food_service_establishments,2
Caterer,1,5.0,2016.0,2014,food_service_establishments,4
Caterer,1,5.0,2017.0,2000,food_service_establishments,3
Caterer,1,6.0,2017.0,2011,food_service_establishments,1
Caterer,1,6.0,2017.0,2014,food_service_establishments,2
Caterer,1,7.0,2016.0,2011,food_service_establishments,1
Caterer,1,7.0,2016.0,2014,food_service_establishments,5
Caterer,1,8.0,2017.0,2014,food_service_establishments,3
Caterer,1,9.0,2017.0,1012,food_service_establishments,3
Caterer,1,10.0,2016.0,2000,food_service_establishments,2
Caterer,1,10.0,2016.0,2001,food_service_establishments,1
Caterer,1,11.0,2016.0,2011,food_service_establishments,1
Caterer,1,11.0,2016.0,2014,food_service_establishments,1
Caterer,1,12.0,2016.0,1000,food_service_establishments,4
Caterer,1,12.0,2017.0,2014,food_service_establishments,2
Caterer,1,13.0,2013.0,1005,food_service_establishments,1
Caterer,1,13.0,2016.0,2014,food_service_establishments,3
Caterer,1,13.0,2017.0,1012,food_service_establishments,3
Caterer,1,14.0,2016.0,2000,food_service_establishments,1
Caterer,1,14.0,2017.0,2000,food_service_establishments,3
Caterer,1,15.0,2016.0,2014,food_service_establishments,2
Caterer,1,15.0,2017.0,1012,food_service_establishments,4
Caterer,1,15.0,2017.0,2011,food_service_establishments,2
Caterer,1,16.0,2016.0,2000,food_service_establishments,1
