establishment_type,risk_category,year,week,BLOCKCE10,values
Bakery,1.0,2011.0,10.0,3010,1
Bakery,1.0,2011.0,10.0,3011,1
Bakery,1.0,2011.0,10.0,4025,1
Bakery,1.0,2011.0,10.0,4026,1
Bakery,1.0,2011.0,21.0,1012,1
Bakery,1.0,2011.0,22.0,1012,1
Bakery,1.0,2011.0,25.0,1000,1
Bakery,1.0,2011.0,32.0,3010,1
Bakery,1.0,2011.0,32.0,3011,1
Bakery,1.0,2011.0,32.0,4025,1
Bakery,1.0,2011.0,32.0,4026,1
Bakery,1.0,2012.0,24.0,1012,1
Bakery,1.0,2012.0,36.0,2002,1
Bakery,1.0,2012.0,41.0,3010,1
Bakery,1.0,2012.0,41.0,3011,1
Bakery,1.0,2012.0,41.0,4025,1
Bakery,1.0,2012.0,41.0,4026,1
Bakery,1.0,2012.0,44.0,3010,1
Bakery,1.0,2012.0,44.0,3011,1
Bakery,1.0,2012.0,44.0,4025,1
Bakery,1.0,2012.0,44.0,4026,1
Bakery,1.0,2013.0,13.0,3010,1
Bakery,1.0,2013.0,13.0,3011,1
Bakery,1.0,2013.0,13.0,4025,1
Bakery,1.0,2013.0,13.0,4026,1
Bakery,1.0,2013.0,19.0,3010,1
Bakery,1.0,2013.0,19.0,3011,1
Bakery,1.0,2013.0,19.0,4025,1
Bakery,1.0,2013.0,19.0,4026,1
Bakery,1.0,2013.0,24.0,2021,1
Bakery,1.0,2013.0,24.0,3010,1
Bakery,1.0,2013.0,24.0,3011,1
Bakery,1.0,2013.0,24.0,4025,1
Bakery,1.0,2013.0,24.0,4026,1
Bakery,1.0,2013.0,25.0,2002,1
Bakery,1.0,2013.0,35.0,1000,1
Bakery,1.0,2013.0,36.0,1000,1
Bakery,1.0,2014.0,4.0,2021,1
Bakery,1.0,2014.0,13.0,2002,1
Bakery,1.0,2014.0,14.0,2002,1
Bakery,1.0,2014.0,30.0,3010,2
Bakery,1.0,2014.0,30.0,3011,2
Bakery,1.0,2014.0,30.0,4025,2
Bakery,1.0,2014.0,30.0,4026,2
Bakery,1.0,2015.0,16.0,1000,1
Bakery,1.0,2015.0,18.0,1000,1
Bakery,1.0,2015.0,19.0,1000,1
Bakery,1.0,2015.0,25.0,3010,1
Bakery,1.0,2015.0,25.0,3011,1
Bakery,1.0,2015.0,25.0,4025,1
Bakery,1.0,2015.0,25.0,4026,1
Bakery,1.0,2015.0,26.0,2002,1
Bakery,1.0,2015.0,30.0,3010,1
Bakery,1.0,2015.0,30.0,3011,1
Bakery,1.0,2015.0,30.0,4025,1
Bakery,1.0,2015.0,30.0,4026,1
Bakery,1.0,2015.0,31.0,2002,1
Bakery,1.0,2017.0,11.0,2002,1
Bakery,1.0,2017.0,13.0,2002,1
Bakery,1.0,2017.0,24.0,3010,1
Bakery,1.0,2017.0,24.0,3011,1
Bakery,1.0,2017.0,24.0,4025,1
Bakery,1.0,2017.0,24.0,4026,1
Bakery,2.0,2008.0,40.0,1001,1
Bakery,2.0,2008.0,47.0,1001,1
Bakery,2.0,2009.0,7.0,2008,3
Bakery,2.0,2009.0,9.0,2008,1
Bakery,2.0,2009.0,51.0,2008,1
Bakery,2.0,2010.0,4.0,2007,1
Bakery,2.0,2010.0,9.0,2000,1
Bakery,2.0,2010.0,27.0,1040,1
Bakery,2.0,2010.0,34.0,2007,1
Bakery,2.0,2010.0,42.0,1040,1
Bakery,2.0,2010.0,45.0,1032,1
Bakery,2.0,2010.0,46.0,1001,1
Bakery,2.0,2010.0,50.0,6005,1
Bakery,2.0,2011.0,1.0,1007,1
Bakery,2.0,2011.0,1.0,1010,1
Bakery,2.0,2011.0,1.0,1012,1
Bakery,2.0,2011.0,1.0,1013,1
Bakery,2.0,2011.0,2.0,1007,1
Bakery,2.0,2011.0,2.0,1010,1
Bakery,2.0,2011.0,2.0,1012,1
Bakery,2.0,2011.0,2.0,1013,1
Bakery,2.0,2011.0,6.0,2007,1
Bakery,2.0,2011.0,10.0,2008,1
Bakery,2.0,2011.0,11.0,1001,1
Bakery,2.0,2011.0,11.0,2008,1
Bakery,2.0,2011.0,20.0,2014,1
Bakery,2.0,2011.0,23.0,2006,1
Bakery,2.0,2011.0,23.0,5003,1
Bakery,2.0,2011.0,25.0,5000,1
Bakery,2.0,2011.0,35.0,2008,1
Bakery,2.0,2011.0,38.0,1040,1
Bakery,2.0,2011.0,39.0,1040,1
Bakery,2.0,2011.0,41.0,2007,1
Bakery,2.0,2011.0,43.0,1001,2
Bakery,2.0,2011.0,43.0,2007,1
Bakery,2.0,2011.0,44.0,1001,1
Bakery,2.0,2011.0,46.0,1001,1
Bakery,2.0,2011.0,46.0,2014,1
Bakery,2.0,2011.0,47.0,2011,1
Bakery,2.0,2011.0,47.0,2012,1
Bakery,2.0,2011.0,47.0,2014,1
Bakery,2.0,2011.0,47.0,2015,1
Bakery,2.0,2011.0,49.0,2010,1
Bakery,2.0,2011.0,50.0,2006,1
Bakery,2.0,2011.0,51.0,3013,1
Bakery,2.0,2012.0,3.0,2008,1
Bakery,2.0,2012.0,4.0,4005,1
Bakery,2.0,2012.0,4.0,5003,1
Bakery,2.0,2012.0,10.0,1007,1
Bakery,2.0,2012.0,10.0,1010,1
Bakery,2.0,2012.0,10.0,1012,1
Bakery,2.0,2012.0,10.0,1013,1
Bakery,2.0,2012.0,11.0,2008,1
Bakery,2.0,2012.0,15.0,5003,1
Bakery,2.0,2012.0,16.0,1007,1
Bakery,2.0,2012.0,16.0,1010,1
Bakery,2.0,2012.0,16.0,1012,1
Bakery,2.0,2012.0,16.0,1013,1
Bakery,2.0,2012.0,20.0,1007,1
Bakery,2.0,2012.0,20.0,1010,1
Bakery,2.0,2012.0,20.0,1012,1
Bakery,2.0,2012.0,20.0,1013,1
Bakery,2.0,2012.0,22.0,1040,1
Bakery,2.0,2012.0,24.0,1040,1
Bakery,2.0,2012.0,30.0,1001,1
Bakery,2.0,2012.0,31.0,2007,1
Bakery,2.0,2012.0,31.0,2010,1
Bakery,2.0,2012.0,32.0,2006,1
Bakery,2.0,2012.0,32.0,5000,1
Bakery,2.0,2012.0,34.0,1040,1
Bakery,2.0,2012.0,34.0,5000,1
Bakery,2.0,2012.0,35.0,1014,1
Bakery,2.0,2012.0,39.0,2006,1
Bakery,2.0,2012.0,40.0,2006,1
Bakery,2.0,2012.0,47.0,2012,2
Bakery,2.0,2012.0,50.0,2008,1
Bakery,2.0,2012.0,51.0,1001,1
Bakery,2.0,2012.0,51.0,4005,1
Bakery,2.0,2013.0,1.0,2008,1
Bakery,2.0,2013.0,7.0,1032,1
Bakery,2.0,2013.0,11.0,2010,1
Bakery,2.0,2013.0,12.0,2006,1
Bakery,2.0,2013.0,12.0,2010,1
Bakery,2.0,2013.0,14.0,2006,1
Bakery,2.0,2013.0,21.0,2008,1
Bakery,2.0,2013.0,24.0,1040,1
Bakery,2.0,2013.0,24.0,5003,1
Bakery,2.0,2013.0,26.0,1040,1
Bakery,2.0,2013.0,27.0,5003,1
Bakery,2.0,2013.0,29.0,1001,1
Bakery,2.0,2013.0,32.0,1001,1
Bakery,2.0,2013.0,32.0,3013,1
Bakery,2.0,2013.0,32.0,5000,1
Bakery,2.0,2013.0,33.0,1007,1
Bakery,2.0,2013.0,33.0,1010,1
Bakery,2.0,2013.0,33.0,1012,1
Bakery,2.0,2013.0,33.0,1013,1
Bakery,2.0,2013.0,33.0,1032,1
Bakery,2.0,2013.0,33.0,2012,2
Bakery,2.0,2013.0,35.0,2014,1
Bakery,2.0,2013.0,36.0,2014,1
Bakery,2.0,2013.0,38.0,2017,1
Bakery,2.0,2013.0,50.0,2008,1
Bakery,2.0,2013.0,50.0,2012,1
Bakery,2.0,2013.0,50.0,4005,1
Bakery,2.0,2013.0,51.0,2008,1
Bakery,2.0,2013.0,51.0,2010,1
Bakery,2.0,2013.0,51.0,2012,1
Bakery,2.0,2014.0,1.0,1001,1
Bakery,2.0,2014.0,1.0,1006,1
Bakery,2.0,2014.0,3.0,1001,1
Bakery,2.0,2014.0,3.0,2008,2
Bakery,2.0,2014.0,6.0,2014,1
Bakery,2.0,2014.0,8.0,1001,1
Bakery,2.0,2014.0,8.0,2006,1
Bakery,2.0,2014.0,8.0,2014,1
Bakery,2.0,2014.0,9.0,2006,1
Bakery,2.0,2014.0,13.0,2017,2
Bakery,2.0,2014.0,14.0,2017,1
Bakery,2.0,2014.0,14.0,4005,1
Bakery,2.0,2014.0,21.0,3013,1
