,feature_id,feature_type,feature_subtype,year,week,census_tract_2010,value
0,population,,,2013,,11001000100,4999.0
1,population,,,2013,,11001000201,3909.0
2,population,,,2013,,11001000202,4866.0
3,population,,,2013,,11001000300,5909.0
4,population,,,2013,,11001000400,1507.0
5,population,,,2013,,11001000501,3357.0
6,population,,,2013,,11001000502,3030.0
7,population,,,2013,,11001000600,4479.0
8,population,,,2013,,11001000701,4915.0
9,population,,,2013,,11001000702,3286.0
10,population,,,2013,,11001000801,6517.0
11,population,,,2013,,11001000802,2653.0
12,population,,,2013,,11001000901,7560.0
13,population,,,2013,,11001000902,2134.0
14,population,,,2013,,11001001001,8074.0
15,population,,,2013,,11001001002,3299.0
16,population,,,2013,,11001001100,4343.0
17,population,,,2013,,11001001200,4985.0
18,population,,,2013,,11001001301,4160.0
19,population,,,2013,,11001001302,7696.0
20,population,,,2013,,11001001401,3345.0
21,population,,,2013,,11001001402,2914.0
22,population,,,2013,,11001001500,6159.0
23,population,,,2013,,11001001600,4200.0
24,population,,,2013,,11001001702,2947.0
25,population,,,2013,,11001001803,3656.0
26,population,,,2013,,11001001804,5507.0
27,population,,,2013,,11001001901,3935.0
28,population,,,2013,,11001001902,2170.0
29,population,,,2013,,11001002001,2548.0
30,population,,,2013,,11001002002,3698.0
31,population,,,2013,,11001002101,5752.0
32,population,,,2013,,11001002102,4901.0
33,population,,,2013,,11001002201,3668.0
34,population,,,2013,,11001002202,3595.0
35,population,,,2013,,11001002301,2868.0
36,population,,,2013,,11001002302,1808.0
37,population,,,2013,,11001002400,3914.0
38,population,,,2013,,11001002501,2516.0
39,population,,,2013,,11001002502,5509.0
40,population,,,2013,,11001002600,2395.0
41,population,,,2013,,11001002701,4600.0
42,population,,,2013,,11001002702,5847.0
43,population,,,2013,,11001002801,4210.0
44,population,,,2013,,11001002802,4877.0
45,population,,,2013,,11001002900,4746.0
46,population,,,2013,,11001003000,3737.0
47,population,,,2013,,11001003100,3280.0
48,population,,,2013,,11001003200,4734.0
49,population,,,2013,,11001003301,3325.0
50,population,,,2013,,11001003302,2202.0
51,population,,,2013,,11001003400,5012.0
52,population,,,2013,,11001003500,4489.0
53,population,,,2013,,11001003600,4469.0
54,population,,,2013,,11001003700,5551.0
55,population,,,2013,,11001003800,5028.0
56,population,,,2013,,11001003900,4666.0
57,population,,,2013,,11001004001,3427.0
58,population,,,2013,,11001004002,2675.0
59,population,,,2013,,11001004100,2698.0
60,population,,,2013,,11001004201,3734.0
61,population,,,2013,,11001004202,2789.0
62,population,,,2013,,11001004300,3287.0
63,population,,,2013,,11001004400,5496.0
64,population,,,2013,,11001004600,2797.0
65,population,,,2013,,11001004701,3582.0
66,population,,,2013,,11001004702,2211.0
67,population,,,2013,,11001004801,2148.0
68,population,,,2013,,11001004802,3220.0
69,population,,,2013,,11001004901,2403.0
70,population,,,2013,,11001004902,2652.0
71,population,,,2013,,11001005001,2044.0
72,population,,,2013,,11001005002,5567.0
73,population,,,2013,,11001005201,5835.0
74,population,,,2013,,11001005301,5202.0
75,population,,,2013,,11001005500,6321.0
76,population,,,2013,,11001005600,6123.0
77,population,,,2013,,11001005800,2664.0
78,population,,,2013,,11001005900,3160.0
79,population,,,2013,,11001006202,0.0
80,population,,,2013,,11001006400,2165.0
81,population,,,2013,,11001006500,2471.0
82,population,,,2013,,11001006600,1869.0
83,population,,,2013,,11001006700,3979.0
84,population,,,2013,,11001006801,2005.0
85,population,,,2013,,11001006802,2256.0
86,population,,,2013,,11001006804,2958.0
87,population,,,2013,,11001006900,2388.0
88,population,,,2013,,11001007000,2476.0
89,population,,,2013,,11001007100,3270.0
90,population,,,2013,,11001007200,3485.0
91,population,,,2013,,11001007301,3282.0
92,population,,,2013,,11001007304,3708.0
93,population,,,2013,,11001007401,2524.0
94,population,,,2013,,11001007403,3412.0
95,population,,,2013,,11001007404,3425.0
96,population,,,2013,,11001007406,3389.0
97,population,,,2013,,11001007407,2601.0
98,population,,,2013,,11001007408,3050.0
99,population,,,2013,,11001007409,3963.0
100,population,,,2013,,11001007502,4951.0
101,population,,,2013,,11001007503,2416.0
